Expansion Name,Expansion Code,Release Date
Duskmourn: House of Horror,DSK,2024-09-27
Bloomburrow,BLB,2024-08-02
Outlaws of Thunder Junction,OTJ,2024-04-19
The Big Score,BIG,2024-04-19
Murders at Karlov Manor,MKM,2024-02-09
The Lost Caverns of Ixalan,LCI,2023-11-17
Wilds of Eldraine,WOE,2023-09-08
March of the Machine: The Aftermath,MAT,2023-05-12
March of the Machine,MOM,2023-04-21
Phyrexia: All Will Be One,ONE,2023-02-03
The Brothers' War,BRO,2022-11-18
Dominaria United,DMU,2022-09-09
Streets of New Capenna,SNC,2022-04-29
Kamigawa: Neon Dynasty,NEO,2022-02-18
Innistrad: Crimson Vow,VOW,2021-11-19
Innistrad: Midnight Hunt,MID,2021-09-24
Adventures in the Forgotten Realms,AFR,2021-07-23
Strixhaven: School of Mages,STX,2021-04-23
Kaldheim,KHM,2021-02-05
Zendikar Rising,ZNR,2020-09-25
Ikoria: Lair of Behemoths,IKO,2020-04-24
Theros Beyond Death,THB,2020-01-24
Throne of Eldraine,ELD,2019-10-04
War of the Spark,WAR,2019-05-03
Ravnica Allegiance,RNA,2019-01-25
Guilds of Ravnica,GRN,2018-10-05
Dominaria,DOM,2018-04-27
Rivals of Ixalan,RIX,2018-01-19
Ixalan,XLN,2017-09-29
Hour of Devastation,HOU,2017-07-14
Amonkhet,AKH,2017-04-28
Aether Revolt,AER,2017-01-20
Kaladesh,KLD,2016-09-30
Eldritch Moon,EMN,2016-07-22
Shadows over Innistrad,SOI,2016-04-08
Oath of the Gatewatch,OGW,2016-01-22
Battle for Zendikar,BFZ,2015-10-02
Dragons of Tarkir,DTK,2015-03-27
Fate Reforged,FRF,2015-01-23
Khans of Tarkir,KTK,2014-09-26
Journey into Nyx,JOU,2014-05-02
Born of the Gods,BNG,2014-02-07
Theros,THS,2013-09-27
Dragon's Maze,DGM,2013-05-03
Gatecrash,GTC,2013-02-01
Return to Ravnica,RTR,2012-10-05
Avacyn Restored,AVR,2012-05-04
Dark Ascension,DKA,2012-02-03
Innistrad,ISD,2011-09-30
New Phyrexia,NPH,2011-05-13
Mirrodin Besieged,MBS,2011-02-04
Scars of Mirrodin,SOM,2010-10-01
Rise of the Eldrazi,ROE,2010-04-23
Worldwake,WWK,2010-02-05
Zendikar,ZEN,2009-10-02
Alara Reborn,ARB,2009-04-30
Conflux,CON,2009-02-06
Shards of Alara,ALA,2008-10-03
Eventide,EVE,2008-07-25
Shadowmoor,SHM,2008-05-02
Morningtide,MOR,2008-02-01
Lorwyn,LRW,2007-10-12
Future Sight,FUT,2007-05-04
Planar Chaos,PLC,2007-02-02
Time Spiral,TSP,2006-10-06
Time Spiral Timeshifted,TSB,2006-10-06
Coldsnap,CSP,2006-07-21
Dissension,DIS,2006-05-05
Guildpact,GPT,2006-02-03
Ravnica: City of Guilds,RAV,2005-10-07
Saviors of Kamigawa,SOK,2005-06-03
Betrayers of Kamigawa,BOK,2005-02-04
Champions of Kamigawa,CHK,2004-10-01
Fifth Dawn,5DN,2004-06-04
Darksteel,DST,2004-02-06
Mirrodin,MRD,2003-10-02
Scourge,SCG,2003-05-26
Legions,LGN,2003-02-03
Onslaught,ONS,2002-10-07
Judgment,JUD,2002-05-27
Torment,TOR,2002-02-04
Odyssey,ODY,2001-10-01
Apocalypse,APC,2001-06-04
Planeshift,PLS,2001-02-05
Invasion,INV,2000-10-02
Prophecy,PCY,2000-06-05
Nemesis,NEM,2000-02-14
Mercadian Masques,MMQ,1999-10-04
Urza's Destiny,UDS,1999-06-07
Urza's Legacy,ULG,1999-02-15
Urza's Saga,USG,1998-10-12
Exodus,EXO,1998-06-15
Stronghold,STH,1998-03-02
Tempest,TMP,1997-10-14
Weatherlight,WTH,1997-06-09
Visions,VIS,1997-02-03
Mirage,MIR,1996-10-08
Alliances,ALL,1996-06-10
Homelands,HML,1995-10-01
Ice Age,ICE,1995-06-03
Fallen Empires,FEM,1994-11-01
The Dark,DRK,1994-08-01
Legends,LEG,1994-06-01
Antiquities,ATQ,1994-03-04
Arabian Nights,ARN,1993-12-17
Ravnica Remastered,RVR,2024-01-12
Commander Masters,CMM,2023-08-04
Shadows of the Past,SIS,2023-03-21
Shadows over Innistrad Remastered,SIR,2023-03-21
Dominaria Remastered,DMR,2023-01-13
Double Masters 2022,2X2,2022-07-08
Universes Within,SLX,2022-03-03
Time Spiral Remastered,TSR,2021-03-19
Kaladesh Remastered,KLR,2020-11-12
"The List
P",LST,2020-09-26
Amonkhet Remastered,AKR,2020-08-13
Double Masters,2XM,2020-08-07
Ultimate Masters,UMA,2018-12-07
Masters 25,A25,2018-03-16
Iconic Masters,IMA,2017-11-17
Modern Masters 2017,MM3,2017-03-17
Eternal Masters,EMA,2016-06-10
Modern Masters 2015,MM2,2015-05-22
Tempest Remastered,TPR,2015-05-06
Vintage Masters,VMA,2014-06-16
Modern Masters,MMA,2013-06-07
Masters Edition IV,ME4,2011-01-10
Masters Edition III,ME3,2009-09-07
Masters Edition II,ME2,2008-09-22
Masters Edition,ME1,2007-09-10
Renaissance,REN,1995-08-01
Rinascimento,RIN,1995-08-01
"Chronicles Foreign Black Border
B",CHR,1995-07-01
Chronicles,CHR,1995-07-01
Duskmourn: House of Horror Commander,DSC,2024-09-27
Bloomburrow Commander,BLC,2024-08-02
Modern Horizons 3 Commander,M3C,2024-06-14
Outlaws of Thunder Junction Commander,OTC,2024-04-19
Fallout,PIP,2024-03-08
Murders at Karlov Manor Commander,MKC,2024-02-09
The Lost Caverns of Ixalan Commander,LCC,2023-11-17
Doctor Who,WHO,2023-10-13
Wilds of Eldraine Commander,WOC,2023-09-08
Tales of Middle-earth Commander,LTC,2023-06-23
March of the Machine Commander,MOC,2023-04-21
Phyrexia: All Will Be One Commander,ONC,2023-02-03
Starter Commander Decks,SCD,2022-12-02
The Brothers' War Commander,BRC,2022-11-18
"Warhammer 40,000 Commander",40K,2022-10-07
Dominaria United Commander,DMC,2022-09-09
New Capenna Commander,NCC,2022-04-29
Neon Dynasty Commander,NEC,2022-02-18
Crimson Vow Commander,VOC,2021-11-19
Midnight Hunt Commander,MIC,2021-09-24
Forgotten Realms Commander,AFC,2021-07-23
Commander 2021,C21,2021-04-23
Kaldheim Commander,KHC,2021-02-05
Zendikar Rising Commander,ZNC,2020-09-25
Commander 2020,C20,2020-04-17
Commander 2019,C19,2019-08-23
Commander 2018,C18,2018-08-09
Commander Anthology Volume II,CM2,2018-06-08
Commander 2017,C17,2017-08-25
Commander Anthology,CMA,2017-06-09
Commander 2016,C16,2016-11-11
Commander 2015,C15,2015-11-13
Commander 2014,C14,2014-11-07
Commander 2013,C13,2013-11-01
Commander 2011,CMD,2011-06-17
Foundations,FDN,2024-11-15
Core Set 2021,M21,2020-07-03
Core Set 2020,M20,2019-07-12
Core Set 2019,M19,2018-07-13
Magic Origins,ORI,2015-07-17
Magic 2015,M15,2014-07-18
Magic 2014,M14,2013-07-19
Magic 2013,M13,2012-07-13
Magic 2012,M12,2011-07-15
Magic 2011,M11,2010-07-16
Magic 2010,M10,2009-07-17
Tenth Edition,10E,2007-07-13
Ninth Edition,9ED,2005-07-29
Eighth Edition,8ED,2003-07-28
Seventh Edition,7ED,2001-04-11
Classic Sixth Edition,6ED,1999-04-21
Fifth Edition,5ED,1997-03-24
Fourth Edition Foreign Black Border,4BB,1995-04-01
Fourth Edition,4ED,1995-04-01
Summer Magic / Edgar,SUM,1994-06-21
Revised Edition,3ED,1994-04-11
Foreign Black Border,FBB,1994-04-11
Unlimited Edition,2ED,1993-12-01
Limited Edition Beta,LEB,1993-10-04
Limited Edition Alpha,LEA,1993-08-05
